"refNum","Стара оферта","base","descOverlap","final","Оператор","spo (ID при оператора)","PV id","PV заглавие"
"П945","Халкидики – Ситония, почивки на море (автобус)","0.606","0.71","0.655","Solvex TA","11687","43-11687","Халкидики - Ситония - почивки на море, Дати: Всяка събота от 23.05 до 19.09, автобусна почивка от София, Пловдив и Пазарджик"
"Е736","Дъхът на Краков","0.464","0.88","0.649","Bohemia","6000005307","21-6000005307","Екскурзия в ПОЛША - КРАКОВ на един дъх"
"П829","Почивка в Анталия (полет от Пловдив)","0.55","0.75","0.64","OnexTour","235","94-235","Почивка в Лара, Турция с полет от Пловдив до Анталия"
"П935","Почивка в Италия – Сицилия (хотел Sporting Baia 4★)","0.57","0.83","0.639","Abax.bg","3000","109-3000","СИЦИЛИЯ ОТ А ДО Я - ДУШАТА НА ИТАЛИЯ - полет от София"
"Е431","Екскурзия в Япония – Токио, Фуджи, Киото, Осака","0.63","0.61","0.622","Bohemia","6000003297","21-6000003297","Екскурзия в ЯПОНИЯ - Токио, Фуджи, Киото, Осака, съкровищата на Япония - с водач от България!"
"Е544","Дубай и Абу Даби – 5 нощувки + 4 екскурзии и 4 вечери включени","0.459","0.83","0.62","Karta Holiday","60","98-60","Дубай и Абу Даби – 7 нощувки + 4 екскурзии и 6 вечери, включени в цената"
"Е712","Йонийска мечта – Лефкада, Кефалония и Закинтос","0.576","0.67","0.617","Bohemia","6000002876","21-6000002876","Йонийска мечта"
"П1090","Почивка в Кушадасъ 2026 (самолет от София до Измир)","0.503","0.75","0.614","ToursClub","234","44-234","Почивка в Кушадасъ 2026: Самолетна програма със 7 нощувки с полет от София до Измир"
"Е579","САЩ Западно крайбрежие с круиз по Бахамите","0.62","0.6","0.611","2МКО","1590","20-1590","САЩ - Западно крайбрежиe, с круиз по Бахамите"
"Е560","Милано и италианските езера (втора програма)","0.508","0.71","0.601","Doris","255","111-255","Милано и италиански езера"
"Е706","Природен феномен Метеора – Катерини Паралия – Солун","0.562","0.64","0.595","AnaTravel","313","26-313","Екскурзия до Метеора, Паралия Катерини и Солун"
"Е671","Китай и Планините от Аватар – Джангдзяцзи","0.592","0.58","0.586","WelcomeTravel","807","19-807","КИТАЙ И ПЛАНИНИТЕ ОТ АВАТАР 2026 - 20.09, 05.10"
"Е734","Най-доброто от Полша","0.48","0.71","0.585","Bohemia","6000005056","21-6000005056","Екскурзия &quot;Най-доброто от ПОЛША&quot; - Вроцлав, Познан, Гданск, Варшава  и Краков!"
"Е456","Легенди от Румъния – Букурещ, Синая, Бран и Брашов (втора програма)","0.548","0.63","0.583","AdvenTour","441","138-441","Легенди от Румъния ✔️ Букурещ, Синая, Бран и Брашов ✔️ от Кюстендил и Перник"
"Е731","Катар 2026 – Формула 1 Гран При (от Варна, 3 нощувки, вариант 2)","0.405","0.8","0.583","Belprego Travel","1086","121-1086","QATAR 2026 - FORMULA 1 GRAND PRIX - от Варна 3 Нощувки - хотел 5* - NORTH GRANDSTAND"
"Е517","Съкровищата на Испания – със самолет, на български език","0.648","0.5","0.581","Bohemia","6000002906","21-6000002906","Съкровищата на Испания - със самолет, на български език! Отстъпки за ранни записвания!"
"П1124","Загадъчна Сицилия + бонус 3 екскурзии (Athena Resort 4★)","0.503","0.67","0.577","Abax.bg","3083","109-3083","Загадъчна Сицилия + БОНУС 3 екскурзии - Athena Resort Village 4* Superior полет от София"
"Е551","Перу – Лима, Наска, Аракипа, Титикака и Мачу Пикчу","0.54","0.62","0.576","Rual Travel","4551","31-4551","Перу"
"Е684","Опознай Индия – Делхи, Агра, Джайпур, Джодхпур, Удайпур","0.46","0.71","0.574","WelcomeTravel","1412","19-1412","ОПОЗНАЙ ИНДИЯ"
"Е655","Косово – новородената държава (22 септември)","0.62","0.5","0.566","AlbatrosTours","606","139-606","22 Септември екскурзия КОСОВО – новородената държава в сърцето на ДАРДАНИЯ!"
"П985","Белек – Лято 2026 (самолет, събота, 7 нощувки)","0.62","0.5","0.565","AQUA TOUR","1864","97-1864","СИДЕ - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН  СЪБОТА  - 7 НОЩУВКИ"
"Е667","Катар 2026 – Формула 1 Гран При (от Варна, 3 нощувки)","0.41","0.75","0.563","Belprego Travel","1080","121-1080","QATAR 2026 - FORMULA 1 GRAND PRIX - от Варна 3 Нощувки - хотел 4* - MAIN GRANDSTAND"
"Е396","Страната на баските (самолет, на български)","0.55","0.57","0.56","Bohemia","6000002552","21-6000002552","Страната на баските - със самолет, на български език! Гарантирани места!"
"П1073","Скритите съкровища на Тенерифе (чартър от София 2026)","0.401","0.75","0.558","Abax.bg","2929","109-2929","Канарски острови – Тенерифе: романтика под златни залези - чартърен полет от София"
"П1117","Почивка в Алания (самолет от София, 7 нощувки)","0.526","0.6","0.551","Emerald Travel","560","123-560","Почивка в Алания, Турция със самолет от София в Петък - 7 нощувки"
"Е617","Екскурзия в Етиопия – незабравимо пътуване по Северния маршрут","0.637","0.44","0.55","Bohemia","6000005029","21-6000005029","Екскурзия в ЕТИОПИЯ  – Незабравимо пътуване по Северния исторически път с водач на български език!"
"П946","Почивки на Халкидики – Ситония","0.546","0.56","0.55","NovaTours","3","116-3","Почивки на Халкидики - Ситония - лято 2026"
"Е663","Катар 2026 – Формула 1 Гран При (7 нощувки, хотел 4★)","0.378","0.75","0.545","Belprego Travel","1015","121-1015","QATAR 2026 - FORMULA 1 GRAND PRIX - 7 Нощувки - хотел 4* - NORTH GRANDSTAND"
"Е662","Катар 2026 – Формула 1 Гран При (7 нощувки, хотел 4★, вариант 2)","0.375","0.75","0.544","Belprego Travel","1016","121-1016","QATAR 2026 - FORMULA 1 GRAND PRIX - 7 Нощувки - хотел 4* - MAIN GRANDSTAND"
"Е730","Златният триъгълник на Индия – Делхи, Джайпур и Агра (5★ хотели)","0.516","0.57","0.541","AVIVA TRAVEL","4740","183-4740","ИНДИЯ - ДЕЛХИ, ДЖАЙПУР и АГРА (Златният триъгълник)"
"П936","Почивка в Кемер 2025 (самолет от София, 7 нощувки)","0.465","0.75","0.538","ToursClub","118","44-118","Почивка в Кемер 2026: Автобусна програма със 7 нощувки от София и Пловдив"
"Е229","Очарованието на италианската и френската ривиера","0.616","0.43","0.532","Rual Travel","3520","31-3520","Очарованието на италианската и френската ривиера"
"Е666","Формула 1 Гран При в Абу Даби 2026 (от София)","0.558","0.5","0.532","Belprego Travel","1098","121-1098","FORMULA 1 GRAND PRIX в Абу Даби 2026 от София"
"П1050","Тунис 2026 – 8 дни All Inclusive (полет от София)","0.557","0.5","0.531","ToursClub","239","44-239","Почивка в Сиде 2026: Самолетна програма със 7 нощувки от София"
"П1143","Почивка в Лара, Турция (самолет от Пловдив, петък)","0.517","0.6","0.53","OnexTour","235","94-235","Почивка в Лара, Турция с полет от Пловдив до Анталия"
"Е672","Най-доброто от Южна Африка – от Кейптаун до сафари","0.493","0.57","0.527","Bohemia","6000005031","21-6000005031","НАЙ-ДОБРОТО ОТ ЮЖНА АФРИКА - От оживения град Кейптаун до неукротимата пустош на национален парк &quot;Крюгер&quot; - с водач от България!"
"Е632","Свети Валентин в Париж (самолет, на български)","0.617","0.5","0.525","Doris","235","111-235","Свети Валентин в Париж"
"П1085","Почивка в Пукет, Тайланд (редовен полет, 7 нощувки)","0.533","0.5","0.518","OnexTour","619","94-619","Почивка в Пукет, Тайланд от София 7 + 1 нощувки"
"П1056","Почивка в Кемер (самолет от София, петък, 7 нощувки)","0.533","0.5","0.518","Emerald Travel","569","123-569","Почивка в Кемер, Турция със самолет от София в Неделя - 7 нощувки"
"П554","Луксозна почивка в Албания","0.48","0.56","0.514","NovaTours","82","116-82","5* ПОЧВКА В ДУРЪС С ОПЦИЯ ТРЪГВАНЕ от РУСЕ, В.ТЪРНОВО,СЕВЛИЕВО - 2026"
"П726","Почивка в Алания (автобус от София, 7 нощувки)","0.445","0.6","0.513","Emerald Travel","574","123-574","Почивка в Сиде, Турция с автобус от София - 7 нощувки"
"П771","Почивка на Олимпийска Ривиера (автобус, 7 нощувки)","0.648","0.33","0.506","Emerald Travel","640","123-640","Почивка на Олимпийска Ривиера, Гърция с автобус от Пловдив и София - 7 нощувки"
"Е207","Виетнам – Ханой, Хюе, Хой Ан, Дананг, Златния мост и Сайгон","0.532","0.47","0.503","2МКО","218","20-218","ВИЕТНАМ"
"Е301","Китай – Необятно разнообразие","0.299","0.75","0.502","Dari Tour","1827","28-1827","Екскурзия до Китай 2026 - 9 нощувки есен от Шанхай - На гости при пандите"
"Е692","Екскурзия в Унгария – Будапеща (специална ваканционна програма)","0.6","0.38","0.499","Bohemia","6000003916","21-6000003916","Екскурзия в УНГАРИЯ - БУДАПЕЩА - Специална ваканционна програма за туристи над 55 години и приятели!"
"Е575","Дубай – вълнуваща обиколка на града за 6 дни","0.41","0.6","0.496","MarbroTours","179","63-179","Дубай: Рай в Ориента (6 дни)"
"П1149","Египетски Малдиви – Алмаза Бей","0.45","0.54","0.49","Abax.bg","3016","109-3016","Египетски Малдиви - Алмаза Бей + Кайро - с полет от София до Марса Матрух"
"Е669","Кунг Фу и Панди – Шанхай, Чънду, Сиан, Лоян, Пекин","0.408","0.58","0.485","WelcomeTravel","1255","19-1255","КУНГ ФУ И ПАНДИ ШАНХАЙ - ПЕКИН - 28.06"
"П1121","Почивка в Чешме (самолет от София, 7 нощувки)","0.541","0.4","0.478","Emerald Travel","1025","123-1025","Почивка в Чешме, Турция със самолет от София до Измир в сряда - 7 нощувки"
"Е660","Катар 2026 – Формула 1 Гран При (4 нощувки, хотел 4★, вариант 2)","0.375","0.6","0.476","Belprego Travel","1010","121-1010","QATAR 2026 - FORMULA 1 GRAND PRIX - 4 Нощувки - хотел 4* - NORTH GRANDSTAND"
"Е529","Екскурзия в Италия – уикенд в Болоня (Емилия Романя), самолет","0.58","0.33","0.469","Bohemia","6000004844","21-6000004844","Екскурзия в ИТАЛИЯ – уикенд в Болоня, ЕМИЛИЯ РОМАНЯ, със самолет, на български език!"
"П723","Почивка в Тунис (самолет от София, сряда, 7 нощувки)","0.575","0.33","0.466","Emerald Travel","1609","123-1609","ЕКСКЛУЗИВНИ ОТСТЪПКИ - Почивка в Тунис със самолет от София - 7 нощувки"
"Е326","Прибалтика – новото лице на Европа","0.436","0.5","0.465","PREMIO TRAVEL","470","92-470","ПРИБАЛТИКА – НОВОТО ЛИЦЕ НА ЕВРОПА – ПОЛЕТ ОТ БУРГАС"
"Е636","Екскурзия в Испания – Великолепният Мадрид","0.495","0.42","0.459","Bohemia","6000003121","21-6000003121","Екскурзия в ИСПАНИЯ - Нова година в Мадрид - 4 НОЩУВКИ, със самолет, обслужване на български език!"
"Е234","Виена – Будапеща","0.558","0.43","0.457","Bohemia","6000002096","21-6000002096","Коледа в  Будапеща  и  Виена"
"Е569","Перлите на Адриатика – екскурзия с автобус (Черна Гора)","0.55","0.33","0.453","Bohemia","6000001318","21-6000001318","Перлите на Адриатика - екскурзия с автобус"
"П1072","Почивка в Тенерифе (Checkin Concordia Playa 4★)","0.555","0.29","0.434","Emerald Travel","1641","123-1641","Почивка в Испания - остров Тенерифе, директни чартъри от София - ALUA 4*"
"Е501","Европейските столици – Будапеща, Братислава, Прага и Виена","0.583","0.4","0.432","Globus Tours","200","151-200","Трите столици - Будапеща, Виена и Прага"
"Е681","Виетнам – Златния мост, Халонг, Ханой, Хой Ан и почивка на о-в Фу Куок","0.38","0.5","0.428","Alexander Tour","958","55-958","ТРИТЕ БИСЕРА НА АЗИЯ - ТАЙЛАНД, КАМБОДЖА, ВИЕТНАМ - ФЕВРУАРИ 2027"
"П455","Остров Крит – Лято 2026 (7 нощувки, самолет)","0.57","0.25","0.426","Bohemia","1100019772","21-1100019772","Почивка в ГЪРЦИЯ - ОСТРОВ КРИТ - 5 нощувки  - полет от София!"
"П549","Халкидики – Касандра, почивки на море (автобус)","0.54","0.5","0.426","Solvex TA","11686","43-11686","Халкидики - Касандра - почивки на море. Дати: Всяка събота от 23.05 до 19.09, автобусна почивка от София, Пловдив и Пазарджик"
"Е612","10 дни Исландия – земя на огън и лед","0.42","0.43","0.424","2МКО","1737","20-1737","ИСЛАНДИЯ - ЗЕМЯ ОТ ЛАВА И ЛЕД - УДЪЛЖЕН ВАРИАНТ."
"Е531","Солна мина Униреа – Букурещ – СПА Терме","0.402","0.44","0.421","AdvenTour","449","138-449","ПРЕДКОЛЕДЕН УИКЕНД 2026 в Букурещ. Терме СПА, Коледен базар с опция за Солна мина Слъник и  Музей Цириак – от Пловдив, Стара Загора, Казанлък, Габрово, Велико Търново и Русе"
"П733","Почивка в Алания (самолет от Пловдив, петък, 7 нощувки)","0.449","0.4","0.413","ToursClub","1195","44-1195","Почивка в Кемер 2026: Самолетна програма със 7 нощувки с полет от Пловдив"
"Е595","Катар 2026 – Формула 1 Гран При (4 нощувки, хотел 4★, премиум)","0.334","0.5","0.409","Belprego Travel","1150","121-1150","Формула 1 в Азербайджан 2026 от София"
"Е738","Мароко – Южна магия (8 дни)","0.427","0.38","0.404","Bohemia","6000005413","21-6000005413","Ваканция в МАРОКО - Маракеш и почивка в Агадир!"
"П456","Почивки на о-в Закинтос – Лято 2026","0.408","0.44","0.385","Abax.bg","2995","109-2995","ТУНИС 2026 - 8 дни ALL INCLUSIVE почивка с дъх на екзотика - полет от Варна"
"Е247","Плитвички езера, Постойна яма, езерото Блед – магията на Балканите","0.416","0.33","0.379","Rual Travel","3425","31-3425","Постойна - Плитвишки езера - Загреб - Любляна"
"Е250","Екскурзия – Остров Бали (7 екскурзии включени в цената)","0.408","0.42","0.376","Boiana MG","1007551952","166-1007551952","Приключението Шри Ланка"
"Е485","Коледа в Белград","0.475","0.25","0.374","Bohemia","6000002497","21-6000002497","Екскурзия в Сърбия - Нова година в Белград"
"П980","Малдиви – райско приключение","0.406","0.33","0.373","Karta Holiday","120","98-120","Малдиви – Приключение в рая"
"Е717","Лисабон и остров Мадейра","0.395","0.33","0.367","2МКО","1793","20-1793","ЛИСАБОН И  ПОРТО"
"Е613","САЩ – Бостън, Ню Йорк, Вашингтон, Маями + Торонто и Ниагара","0.368","0.35","0.36","Bohemia","6000005513","21-6000005513","Екскурзия в САЩ и КАНАДА - Американският Изток, Ниагара и най-доброто от Канада!"
"П735","Почивка в Белек (самолет от Пловдив, петък)","0.34","0.4","0.359","Belprego Travel","1213","121-1213","Ранни записвания в Белек, Анталия - Самолетна програма, 2026 /7 нощувки с полет от Пловдив"
"П1158","Сейшелите – екзотична почивка сред райски плажове","0.36","0.36","0.348","Go To Paradise","690","205-690","All Inclusive Почивка в Мексико, Коста Мухерес 2026 - чартърни полети от Мадрид"
"Е507","Исландия – страната на елфите, троловете и северното сияние","0.511","0.14","0.345","Rual Travel","3849","31-3849","Исландия - страната на елфите, троловете и северното сияние - октомври 2026"
"Е689","Кападокия – Бурса – Ескишехир – Анкара","0.34","0.38","0.333","Bohemia","6000000567","21-6000000567","Екскурзия в ТУРЦИЯ - Кападокия от София"
"Е704","Почивка на остров Тасос","0.4","0.22","0.32","Bohemia","1100020118","21-1100020118","Нова година на остров Лефкада - хотел &quot;Ianos&quot; 3* - 3 нощувки - със собствен транспорт"
"П962","В ритъма на доминиканското слънце – Пунта Кана","0.34","0.29","0.316","Bohemia","6000004471","21-6000004471","Ваканция в ЕГИПЕТ - ХУРГАДА, КРУИЗ ПО РЕКА НИЛ и екскурзия до КАЙРО - с нощен влак!"
"Е226","Ирландия – 40 нюанса зелено","0.34","0.25","0.3","PREMIO TRAVEL","536","92-536","ШОТЛАНДИЯ – ДУШАТА НА ВИСОКАТА ЗЕМЯ"
"Е380","САЩ и Канада – Новият свят","0.34","0.26","0.278","2МКО","2090","20-2090","ШРИ ЛАНКА и МАЛДИВИ"
"Е404","САЩ – Западен бряг","0.34","0.2","0.277","Abax.bg","3202","109-3202","КОЛЕДА И НОВА ГОДИНА: Вкусът на Азия -Виетнам и Камбоджа - 12 нощувки"
"Е173","Амалфийска ривиера – Амалфи и крайбрежие","0.34","0.14","0.251","Emerald Travel","1591","123-1591","Почивка в Хургада и Кайро, Египет със самолет от София - кацане в Хургада и връщане от Кайро"
"П953","Нова година 2026 в Рованиеми, Лапландия","0.337","0.14","0.25","Belprego Travel","1012","121-1012","QATAR 2026 - FORMULA 1 GRAND PRIX - 4 Нощувки - хотел 5* - MAIN GRANDSTAND"
"Е196","Лазурен бряг и Италианска ривиера","0.34","0.13","0.243","Bohemia","1100020168","21-1100020168","Почивка в ИТАЛИЯ - РИМИНИ, хотел Vittoria 4* - с директен полет до Римини и обслужване на български език! Специална ваканционна програма за над 55 годишни & Приятели! Гарантирани места!"
"Е197","Тоскана – романтична въздишка","0.36","0","0.198","Bohemia","6000005394","21-6000005394","Почивка в ИТАЛИЯ - Калабрия, Тропеа - с полет до Ламеция Терме"
"Е437","Истанбул и Кападокия – запомнящо преживяване","0.34","0","0.187","AQUA TOUR","1854","97-1854","КЕМЕР - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН ВТОРНИК - 7 НОЩУВКИ"
